Dokument-ID	Dokumenttyp	Verfasser/Autoren	Herausgeber	Haupttitel	Abstract	Auflage	Verlagsort	Verlag	Erscheinungsjahr	Seitenzahl	Schriftenreihe Titel	Schriftenreihe Bandzahl	ISBN	Quelle der Hochschulschrift	Konferenzname	Quelle:Titel	Quelle:Jahrgang	Quelle:Heftnummer	Quelle:Erste Seite	Quelle:Letzte Seite	URN	DOI	Abteilungen
OPUS4-44323	Wissenschaftlicher Artikel	Demske, Ulrike	�gel, Vilmos; Feilke, Helmuth; Linke, Angelika; L�deling, Anke; Tophinke, Doris	Zur Autonomie indirekter Redewiedergabe - eine diachrone Perspektive	Regarding verbal mood and complementation patterns of reporting verbs, the distinction between direct and indirect reported speech is well established in present-day German. This paper looks into the history of German: Common knowledge has it that both the use of verbal mood as well as the quality of clause linkage undergo considerable changes giving rise to the question how these changes affect the manifestations of indirect reported speech in earlier stages of German. The historical record of the 16th century (with an outlook on the 17th century) shows that the distinction between direct and indirect reported speech is not yet grammaticalized in historical sources at the time. In particular with respect to dependent (in)direct reported speech, both types prefer V2-complements with only verbal mood differentiating between the types. Although present and past subjunctive have a much wider distribution in earlier stages of German, the occurrence of free indirect speech likewise testifies to its increasing use as a marker of indirect reported speech. The growing conventionalization of patterns of indirect reported speech in the course of Early Modern German may be considered as an example for an increase of subjectification in its development.		Berlin, New York	De Gruyter	2019	31	Zeitschrift f�r germanistische Linguistik	47						 1	70	101		10.1515/zgl-2019-0003	Institut f�r Germanistik
OPUS4-44353	Wissenschaftlicher Artikel	Knobloch, J�rn		Die Identit�ten des Populismus	Die Prozesse kultureller Transformation in den gegenw�rtigen Demokratien lassen sich mit den traditionellen Ans�tzen der politischen Kulturforschung, bei denen vor allem politische Pr�ferenzen untersucht werden, nicht mehr ad�quat erfassen. Um die Wirksamkeit kultureller Dispositionen der Wahrnehmung und Beurteilung des Politischen sowie politischen Entscheidens und Handelns heute verstehen und analysieren zu k�nnen, bedarf es neuer Konzepte. Dieser Band versammelt Beitr�ge mit Befunden aktueller Forschung zu den politischen Dimensionen von Kultur und den kulturellen Dimensionen von Politik sowie mit innovativen theoretischen, programmatischen und methodischen Ans�tzen.		Bielefeld	transcript	2019	227	Politische Kulturforschung reloaded ; neue Theorien, Methoden und Ergebnisse		978-3-8394-4747-5					 	248				Wirtschaftswissenschaften
OPUS4-47054	Dissertation	Schr�der, Ariane		Biological Inf(1)ections of the American Dream			Wien	Lit	2019	295			978-3-643-91274-9					 					Institut f�r Anglistik und Amerikanistik
OPUS4-47005	Review	Carl�-Uhink, Filippo		Rezension: Gary D. Farney, Guy Bradley (Eds.), The Peoples of Ancient Italy. - Berlin/Boston: De Gruyter, 2017. - ISBN 978-1-61451-520-3			Oldenbourg	Berlin	2019	2	Historische Zeitschrift	309						 3	709	711		10.1515/hzhz-2019-1458	Historisches Institut
OPUS4-47806	Wissenschaftlicher Artikel	Gunnarson, Logi; Wei�, Norman		Human Dignity and the Human Right to an Existence Worthy of Human Dignity			Baden-Baden	Nomos	2019	5	The human right to a dignified existence in an international context : legal and philosophical perspectives		978-3-8487-5812-8					 	7	12			�ffentliches Recht
OPUS4-47808	Wissenschaftlicher Artikel	Gunnarson, Logi; Wei�, Norman; Zimmermann, Andreas		Akzeptanz und Wirksamkeit von Menschenrechtsvertr�gen - Fragen und m�gliche Antworten nach 50 Jahren Menschenrechtspakte			Baden-Baden	Nomos	2019	7	Akzeptanz und Wirksamkeit von Menschenrechtsvertr�gen : eine Bilanz nach 50 Jahren Menschenrechtspakte		978-3-8487-3761-1					 	7	14			�ffentliches Recht
OPUS4-47749	Wissenschaftlicher Artikel	Richter, Dirk; Marx, Alexandra		Quereinsteigende und grundst�ndig ausgebildete Lehrkr�fte im Vorbereitungsdienst in Berlin: Eine vergleichende Analyse ihres Einsatzortes	Viele Bundesl�nder stellen aktuell verst�rkt Quer- und Seiteneinsteiger/innen in den Schuldienst ein. Aufgrund der geringeren berufsspezifischen Qualifizierung der Quer- und Seiteneinsteiger/innen kann vermutet werden, dass deren Integration in das Kollegium f�r Schulen h�ufig mit besonderem Aufwand verbunden ist. Aus diesem Grund soll in diesem Beitrag der Frage nachgegangen werden, an welchen Schularten und welchen Schulen Quereinsteiger/innen eingesetzt werden. Auf Basis der Schulstatistik des Landes Berlin f�r das Schuljahr 2016/17 wird untersucht, ob sich der Anteil von Referendar/inn/en und Quereinsteiger/inne/n am Lehrerkollegium der Schule in Abh�ngigkeit von der Komposition der Sch�lerschaft unterscheidet. Ausgewertet wurden die Daten von 2645 Personen, von denen 901 als Quereinsteigende unterrichten. Die Ergebnisse zeigen, dass ein Gro�teil der Quereinsteiger/innen an Grundschulen eingesetzt werden und hier insbesondere an solchen, die sich durch eine sozial benachteiligte Sch�lerschaft auszeichnen. Die Ergebnisse verdeutlichen die Notwendigkeit einer verst�rkten Steuerung in der Zuweisung von Quereinsteiger/innen an Schulen.		Wiesbaden	Springer	2019	11	Zeitschrift f�r Erziehungswissenschaft	22						 6	1385	1395		10.1007/s11618-019-00915-y	Department Erziehungswissenschaft
OPUS4-47743	Wissenschaftlicher Artikel	Rosso, Enrico		Ein &#8222;Zusammengehen ohne Zusammenkommen". Der Entstehungsprozess des intellektuellen Netzwerkes um die Zeitschrift Die Kreatur	Eine Gruppe, gar eine innerlich verbundene Gemeinschaft, k�nnen Intellektuelle im Normalfall nur bilden, soweit sie von gleichem Denken und Wollen bewegt werden [&#8230;]. Wo dagegen die von den Intellektuellen vertretenen Ansichten weit divergieren, da kann es nur unter sehr kritischen Umst�nden geschehen, da� die verschieden gearteten (sozialen, politischen, rechtlichen, kulturellen, religi�sen) Standpunkte und Anliegen - auf Zeit - sich zusammenfinden [&#8230;]. Das polemische Element, das kritischen Intellektuellen ja wesensm��ig zu eigen ist, bringt am ehesten eine gemeinsame Front zwischen ihnen zustande.		Berlin	De Gruyter	2019	25	Naharaim	13				A "Going Together without Coming Together". The Process of Creating the intellectual Network around the magazine Die Kreatur		 1-2	73	97		10.1515/naha-2019-0006	Institut f�r Philosophie
OPUS4-42758	Dissertation	Jennek, Julia		Binnendifferenzierung in der Sekundarstufe I					2019	214								 					Strukturbereich Bildungswissenschaften
OPUS4-44172	Buch (Monographie)		Marszalek, Magdalena; Herbst, Dominika	Testimoniale Strategien	Die Zeugenschaft gilt als ein vielschichtiges kulturelles Ph�nomen, das nicht nur eine unverzichtbare Grundlage jeglicher glaubw�rdigen Kommunikation bildet, in religi�sen, juridischen sowie wissenschaftlichen Kontexten eine wesentliche Rolle spielt, sondern auch posttraumatische Erinnerungskulturen fundiert. Der Band schlie�t an aktuelle Diskussionen der Zeugenschaft an, die das Zeugnis und den Zeugen in verschiedenen kulturellen Zusammenh�ngen denken sowie das ethisch-memoriale Paradigma des Bezeugens, das sich in den intellektuellen Auseinandersetzungen mit der Katastrophe der Shoah herausgebildet hat, f�r weitere historische sowie gegenw�rtige gesellschaftliche und politische Kontexte �ffnen. Das Augenmerk liegt auf der Zwischenkriegszeit sowie den beiden Weltkriegen als historische Schwellen, die nicht nur jeweils ein explosionsartiges Auftreten von Zeugenberichten zur Folge hatten, sondern auch das Verst�ndnis der Zeugenschaft sowie ihrer Formen und Medien neu definierten. Ist die Zeugenschaft selbst ein uraltes Ph�nomen, so ist ein testimoniales Bewusstsein literarischer bzw. k�nstlerischer Praktiken vor allem eine Konsequenz der katastrophalen Geschichte des 20. Jahrhunderts. Der Band befragt testimoniale Strategien der Literatur und Kunst vom Dokumentarismus der Zwischenkriegszeit (vor allem in der Reportage) hin zu M�glichkeiten des Bezeugens in den Mensch-Maschine-Konstellationen der Gegenwart. Zugleich pr�sentiert er polnische Literatur, Kunst und theoretische Reflexion der Zeugenschaft in komparatistischen Zusammenh�ngen. Dazu geh�ren sowohl eine Wiederentdeckung der fr�hen Abhandlung �ber die Zeugnisse des Gro�en Kriegs von Jean Norton Cru in der vergessenen deutschen �bersetzung von 1932 als auch eine deutsche Erst�bersetzung eines Fragments �ber Zeugnis und Erfahrung der Philosophin Barbara Skarga. Mit Beitr�gen u.a. von Aur�lia Kalisky, Dorota Sajewska, Sibylle Schmidt, Ma&#322;gorzata Sugiera, Marek Zaleski u.a.		Berlin	Kulturverlag Kadmos	2019	263			978-3-86599-421-9					 					Philosophische Fakult�t
