title	abstract	pdf
Das Hörvermögen von Gerbils unterschiedlicher Altersgruppen nach drei Monaten Haltung in einem Environmental Enrichment	"Because of its high prevalence and in consideration of an aging society, presbyacusis represents a big socioeconomically problem especially in the industrial nations. Presbyakusis results not only an social isolation because of the difficulties in communication of the concerned groups, it also leads to an financial burden  the health systems because of the hearing aids which are necessary for handycap-compensation and because of comorbidities of presbyacusis such as dementia. In the light of this fact it is of great importance to study the  pathomechanisms of  presbyacusis  in order to develop prevention strategies.

We know from studies at humans that the ageing process can be decelerated through physical activity and psychic requirements. The aim of this study was to proof , if the loss of the neural power and the age-related hearing loss can be affected through activity in an animal model. Therefore, Mongolian gerbils (Meriones unguiculatus) were held during a longer period in an Enviromental Enrichment (EE) counterparted to an deprived environment (DE). The influence of the different husbandry conditions was examined both at younger and at older animals. For that reason, the animals were held for 3 to 4 Month in the different husbandry conditions.   Audiometric scans were made in constant intervals using auditory evoked brainstem responses and otoakoustic emissions. 
The results of this study show, that the older animals do not benefit from the stimulation-enriched environment. Partial the hearing of this animals got worse in comparison of the control group. In contrast a little- but not significant effect of the environmental enrichment could be observed at the young animals. Compared to the control group the proceeding of the hearing loss was reduced at the animal living in the enriched conditions. 
Within this study, a first indication could be shown that an enriched environment might have positive effects delaying the progress of hearing loss in an young age but not  in the elderly. The experimental approach to reach a more limited impact of presbyacusis by keeping animals in an environmental enrichment could, maybe through an advanced study-design, help to get a new jigsaw piece in this complex topic."	https://tobias-lib.uni-tuebingen.de/xmlui/bitstream/handle/10900/53589/Dissertation%20Boris%20M%c3%bcller.pdf?sequence=1&isAllowed=y
Endoskopischer Zugang zur Schädelbasis - eine anatomische Betrachtung	"Die Neuroendoskopie ist ein relativ junges Verfahren in der Neurochirurgie. Sie wird aktuell als assistierendes Verfahren zusätzlich zur Mikrochirurgie oder als reines operatives Verfahren eingesetzt.
In unserer Arbeit haben wir uns am anatomischen Präparat mit der Fragestellung der Darstellbarkeit der neurovaskulären Strukturen über verschiedene endoskopische Zugänge beschäftigt. Weiterhin war die selektive Gefäßfüllung am Beispiel der Vena petrosa superior von Interesse. Verwendet wurden hier der anatomische Zugang, der eine großzügige Erweiterung des gängigen neurochirurgischen okzipitalen Zuganges darstellt, sowie der klassische retrosigmoidale intradurale suprameatale Zugang und als Zugang zur vorderen Schädelgrube der anterolaterale Zugang. Für den anatomischen Zugang wurden alkoholglycerol-fixierte Präparate, für die anderen Zugänge formalinfixierte Präparate verwendet. Es kam hierbei vornehmlich eine 5mm 25° Optik der Firma Richard Wolf, als auch für die Reihenuntersuchung im Vergleich eine 5mm 70° Optik der Firma Smith&Nephew zum Einsatz. Folgende Ergebnisse ließen sich herbei erzielen:
Über den retrosigmoidalen Zugang lassen sich mit der 25° Optik alle Strukturen bis auf die Arteria basilaris und den Nervus trochlearis gut darstellen. Die Arteria basilaris kann im Weitergehenden mit der 70° Optik dargestellt werden, nicht aber der Nervus trochlearis. Die Orientierung mit der 70° Optik gestaltet sich deutlich schwieriger. 
Über den anterolateralen Zugang ist die endoskopische Exploration mit der 25° Optik bis zum Hypophysenstiel sehr gut möglich. Abschließend lässt sich sagen, dass die endoskopische Exploration der Schädelbasis gut möglich ist. Mit der 70° Optik konnte eine weitere Struktur dargestellt werden, allerdings ist die Orientierung deutlich schwieriger.
Die Vena petrosa und ihre drainierenden Venen wurden selektiv mit einem Silikonfarbegemisch gefüllt und ließen sich in allen Fällen gut darstellen. Der Durchmesser dieser Venen ist sehr variabel. Allerdings konnte keine kontralaterale Anastomose nachgewiesen werden.
Die Endoskopie bietet also im Vergleich zur Mikroskopie eine sehr gute räumliche Darstellbarkeit der Strukturen. Allerdings erfordert sie großes Geschick bei ihrer Durchführung, da viele Strukturen leicht verletzt werden können. Somit werden die Indikationen wohl auch weiterhin eng gestellt werden. Allerdings findet über die Jahre eine zunehmende Entwicklung der technischen Möglichkeiten statt, so dass die Endoskope immer kleiner werden und durch Kamerachipeinheiten und zunehmende Flexibilität sich das Handling deutlich verbessert. Aber nicht nur in der Klinik bietet die Endoskopie viele Möglichkeiten, so erfolgt auch zunehmend die Verbreitung in Forschung und Lehre."	https://tobias-lib.uni-tuebingen.de/xmlui/bitstream/handle/10900/59041/diss_neue_endversion.pdf?sequence=1&isAllowed=y
Auswirkung des Crosslinking der Kornea mittels UV-A-Strahlung und Riboflavin auf den intraokularen Druck und die Ultrastruktur am Vorderkammermodell des Schweins	"Hintergrund: 
Der Keratokonus ist eine meist bilaterale, nicht-entzündliche Ektasie der Kornea, die im meist progredienten Verlauf eine starke Einschränkung der Sehleistung verursacht. Meist sind jüngere Patienten betroffen, die Erkrankungsgipfel liegen zwischen dem 17. und 49. Lebensjahr. Bisherige Therapien waren rein symptomatisch wie die Anpassung ausgleichender Sehhilfen oder letztlich eine Keratoplastik mit entsprechenden Risiken. Seit mehreren Jahren nun wird mittels Crosslinking (Cxl) ein vielversprechender Ansatz verfolgt der das Fortschreiten des Keratokonus kausal aufhalten kann. Da es sich um meist sehr junge Patienten mit entsprechendem Langzeitverlauf handelt ist das Verständnis der möglichen Komplikationen und Nebenwirkungen sehr wichtig. Mehrere Studien haben sich bereits mit diesen beschäftigt; unter anderem mit der Problematik des IOP (intraokulärer Druck) und dessen Messung. Hier lagen bisher sehr unterschiedliche Ergebnisse vor. Ziel dieser Arbeit war es zu klären ob es im Modell intraokular zu einer Druckerhöhung nach Cxl kommt.

Methoden:
Es wurden insgesamt 35 Schweineaugen bzw. die Vorderkammer im Perfusionsmodell nach Johnsen und Tschumper untersucht. 20 Augen wurden mittels Cxl behandelt, 15 Augen dienten als Methodenkontrolle. Die Auswertung erfolgte in Kohorten zu je 5 Augen. Die Dauer der Nachbeobachtung betrug 48 h. Darüber hinaus wurden 8 Vorderkammern, jeweils 4 nach Cxl und 4 nach Methodenkontrolle, mittels Elektronenmikroskop auf ultrastrukturelle Veränderungen untersucht. Mit der TUNEL-Färbung wurde die Funktion des Modells überprüft. Des Weiteren wurden, zu verschiedenen Zeiten, Zellen für eine Zellkultur aus dem Trabekelmaschenwerk isoliert.

Ergebnisse:
Druckmessung: Der Mittelwert der Messungen aller Interventionskohorten lag für die Messungen vor Cxl bei 16,07 mmHg(± 3,17 mmHg), der Wert nach Cxl lag bei 14,83 mmHg (± 3,07 mmHg). Bei den Kontrollkohorten ergaben sich folgende Werte: Messung vor Cxl 14,78 mmHg (± 4,85 mmHg) und nach Cxl 12,60 mmHg (± 2,75 mmHg). Die Untersuchung der Ultrastruktur zeigte keine Veränderung durch das Cxl oder durch die Perfusionskammer. Die TUNEL-Färbung zeigte im Mittel 3,95 % (± 1,84 %) apoptotische Zellen in den Augen die im Perfusionsmodell waren. Die Anzüchtung der Zellkulturen aus den Druckversuchen gelang nicht. Bei den Nativen Augen nur nach max. 12-stündiger Inkubation ins Medium.

Schlussfolgerung:
Es konnte nicht nachgewiesen werden dass es durch das Cxl intraokulär zu einem signifikanten Anstieg des IOP im Beobachtungszeitraum kommt. Im Einzelfall jedoch waren auch höhere Werte zu beobachten. Insgesamt scheint v.a. die klinische Messmethode mittels Applanationstonometern durch die Erkrankung und die Folgen der Cxl-Behandlung affektiert zu sein. Auch Ultrastrukturell fanden sich keine Hinweise auf eine Veränderung durch das Cxl im Beobachtungszeitraum."	https://tobias-lib.uni-tuebingen.de/xmlui/bitstream/handle/10900/62820/Dissertation%20Ottmann_Oliver.pdf?sequence=1&isAllowed=y
"Assessing language and visuospatial functions with one task: a ""dual use"" approach to performing fMRI in children"	"Functional magnetic resonance imaging (fMRI) has become an important tool in clinical and research settings but is a still highly challenging method to apply in paediatrics. Previously, it has been shown, that shortening scanning time increases the success rate of fMRI studies in children. One approach to shortening the scanning time would be to  assess two cognitive functions using one task.
The hypothesis of this study was, that the control condition of an established child friendly language task (Vowel Identification Task, VIT) requires visuospatial functions. Therefore, the VIT could be used as a “dual use task” to assess language (active>control) and visuospatial functions (control>active).
43 children (12,0 ± 2,6 years; 19 f) were recruited. They performed the VIT, consisting of the active condition (“Is there an /i:/ in the name of the [visually presented] object?”) and the control condition (“Does the smaller pattern fit in the larger one [both visually presented] like the piece of a puzzle?”), as well as a visuospatial reference task (Visual Search Task, VST). Data was acquired using a 1.5 T scanner, datasets were preprocessed and statistically analysed using SPM 8. Random effects second level analyses were performed (p<.01, FWE corrected) to assess  activation patterns of the VIT (active>control; control>active) and the VST (active>control).
In the VIT (active>control) activation was found in classical left lateralized language producing areas as in previous studies. In the VST and the VIT (control>active) activation was overlapping in the a priori expected region (bilateral superior parietal) and the right frontal eye field, but was more right lateralized in the VIT (control>active). The overlap of activation in brain regions classically associated with visuospatial functions indicates that these functions are required in both tasks. Stronger right lateralization in the VIT (control>active) is consistent with the lower degree of difficulty in the task.
In conclusion, it appears that the VIT can be used to assess language and visuospatial functions in (even young) children. The idea of “dual use tasks” seems to be an interesting approach for future task designs especially, but not only, in paediatrics."	https://tobias-lib.uni-tuebingen.de/xmlui/bitstream/handle/10900/46136/pdf/Dissertation_Kathina_Ebner_2014.pdf?sequence=1&isAllowed=y
cDNA microarray analysis and gene expression profiling of sporadic vestibular schwannomas compared to healthy post-mortem tissue: a look at the molecular level using Ingenuity Pathway Analysis Software	"Objective: In this study we investigated the gene expression profile between tumor and control tissue in search of underlying disease-causing deregulated genes and pathways, using cDNA microarray technology and Ingenuity Pathway Analysis Software.

Background: Vestibular schwannomas are benign tumors arising from the Schwann cells of the 8th cranial nerve. 
With an amount of 80-86% of all space consuming lesions of the cerebellopontine angle, they represent the most common tumors in this location. 
There are different types of vestibular schwannomas which can be grouped into unilateral sporadic vestibular schwannomas, cystic schwannomas and bilateral or neurofibromatosis type 2 (NF2)-associated schwannomas. The latter are characteristic for the autosomal dominant disorder neurofibromatosis type 2 (NF2). Frequently, in patients suffering from NF2, other noncancerous tumors in the nervous system (e.g. meningiomas), ophthalmologic abnormalities (e.g. cataracts), and skin lesions (e.g. Café au lait macules) occur. 
Mutations within the tumor suppressor gene NF2 and their effects on its protein product merlin have been identified over the past years. 
Recently, novel molecular diagnostic technologies and bioinformatics tools also help us to identify other genes playing a role in tumorigenesis.

Methods: Whole-genome gene expression profiling was performed (HG-U219 Array Plate, Affymetrix®) of tissue samples from 36 patients with sporadic vestibular schwannomas versus seven postmortem samples of the vestibulocochlear nerve. 
Canonical pathway analysis (Ingenuity Pathway Analysis, IPA) was utilized to determine the most significantly associated pathways. .

Results: A total of 4021 probe sets (2276 probe sets were up- and 1745 downregulated) showed significant difference based on the criteria of P value < 0.01 and log Fold Change of >= 1. With a threshold of 0.0001, IPA identified 13 significantly deregulated canonical pathways. Among them six were involved in categories of the immune response (cytokine signaling, celullar and humoral immune response). We focused on the highest ranked canonical pathway The Role of NFAT in Regulation of the Immune Response which reveals an important role for Nuclear factors of activated T cells (NFAT) and T cell response in the formation of sporadic vestibular schwannoma. 

Conclusions: An important role in vestibular schwannoma formation is attributed to pathways and genes of the immune system and there is evidence that these findings may lead to an imbalance between tumorigenesis and immune response. Specifically, Nuclear factors of activated T cells (NFAT) and their transcriptional partners seem to be of potential importance. Nevertheless, results obtained with cDNA microarray analysis require further validation steps by alternative and reliable technologies (e.g. RT-PCR and protein analysis)."	https://tobias-lib.uni-tuebingen.de/xmlui/bitstream/handle/10900/46129/pdf/Bib_Version_07.01.2014_ABGABE.pdf?sequence=1&isAllowed=y
pH or BE - Thresholds of pH and BE in term infants	"Background: Baseexcess (BE) and pH determined in umbilical artery (UA) blood are valid parameters to measure acidosis. Severe foetal acidosis and hypoxia can injure the infant, until cerbral injuries and multi-organ-failure. Until now there is no consensus world wide which one of these two parameters and which thresholds should be used. 
The aim of this study was to redefine thresholds of pH and BE for term infants, which should not be exceed. Therefore the complications in early neonatal life were evaluated and the diagnostic power of both variables was compared.
Methods: 399 term infants without major malformations and a pH,UA < 7,000 were analysed. The foetal outcome was quantified in an asphyxia-complications(AC)-score, which use the Apgar-score after 1 min. and all complications of the neonate until discharge. Routine acid-base (AB) measurements were available in nearly all cases.
Results: 10 % of the term infants (N=390) with a definitely good outcome had a pH < 7,000. The analyse of the AB-parameters in UA-blood of the 390 neonates with good outcome led to the following AB-variables: lowest pH = 6,717, highest pCO2 = 118 mmHg, lowest BEoxy = -32,4 mmol/l and lowest sO2 = 0,63 %. 90 % of these neonates had an oxygensaturation > 3 %. To describe thresholds of the AB-variables it seemed to be necessary to analyse term infants without acidotic morbidity, accepted were only respiration disorders in early neonatal life (C-score) and Apgar-scores down to 4 after 1 minute (A-score). This led to an AC-score of < 9 (N=367). In this group the lowest pH,UA was 6,840 and BEoxy was -25,1 mmol/l. To have a security-zone the 10th or 90th percentile of each variable distribution was taken to determe the following thresholds in UA-blood which should be respected in clinical situations : pH = 7,000, pCO2 = 84 mmHg, sO2 = 3 % and BEoxy = -20 mmol/l. In UA-blood the actual pH always offers closer correlations with the AC-score when compared with the BEoxy value.
Conclusion: These thresholds in UA-blood have to be respected in clinical situations: pH = 7,000, pCO2 = 84mmHg, BEoxy = -20mmol/l and sO2 = 3 %. BEoxy does not offer a higher diagnostic power when compared with actual pH."	https://tobias-lib.uni-tuebingen.de/xmlui/bitstream/handle/10900/46126/pdf/Druckabgabe_ohne_Lebenslauf.pdf?sequence=1&isAllowed=y
The National Socialist „Law for the Prevention of Hereditarily Diseased Offspring” using the example of the medical opinions regarding sterilizationexecuted at the psychiatry Tübingen in 1939	"The realization of the „Law for the Prevention of Hereditarily Diseased Offspring” (14th July 1933) at the psychiatry Tübingen between 1933 and 1945, the time of the National Socialistic dictatorship,  is being analyzed in a retrospective study by the section of the forensic psychiatry and psychotherapy Tübingen. As a part of this study, the at hand dissertation examines the execution of the „Law for the Prevention of Hereditarily Diseased Offspring” at the psychiatry Tübingen in the year 1939.

The data collection was being realized with the original and at the University Tübingen archived patient files including medical opinions regarding sterilization. The results of the dissertation have to be seen under reserve as a certain amount of patient files got lost or was not accessible. There were 551 patient files viewed. 111 files with medical opinions regarding the prevention of hereditarily diseased offspring were considered in the dissertation’s analysis. Out of the 111 medical opinions, 72 were done for male patients and 39 for females.

Although more men than women were examined, the respective doctors recommended sterilization for women more often. Most of the medical opinions featured the diagnosis “schizophrenia”, “native dementia” or “inherited falling sickness”. In accordance with the „Law for the Prevention of Hereditarily Diseased Offspring”, all examined patients were in reproductive age and between 13 and 48 years old. 85 percent were unmarried. Furthermore, it could be shown that 90 percent of all patients belonged to the social lower class, were Christian and owned the German nationality. With the start of the Second World War in autumn 1939, a significant decrease of medical opinions regarding sterilization was detected.

The acquired results support the conclusion that patients of the psychiatry Tübingen in 1939 were examined in accordance with the legal requirements of the „Law for the Prevention of Hereditarily Diseased Offspring”. Still, sterilizations were recommended in a restrained manner. 

A solid statement about the amount of realized sterilizations cannot be made due to missing data."	https://tobias-lib.uni-tuebingen.de/xmlui/bitstream/handle/10900/46141/pdf/Finale_Druckversion_nach_Druckfreigabge_und_Korrektur_Dis_H_Schneider_PDF_A_.pdf?sequence=1&isAllowed=y
Functional analysis of Pax7 in the dorsal midbrain of the chick embryo and its effects on the cell cycle genes of the G1/S phase	"This thesis examines the crucial role of the transcription factors Pax3 and Pax7 in the development of specialized cell regions of the midbrain of the chicken embryo and their ability to influence the transcription of the cell cycle genes of the g1/s phase. 
The basic biological processes of the early CNS development of the chicken (gallus gallus domesticus) can be compared with these of the mammalian CNS development. This is why we used chicken embryos as a model organism im our experiments. 

During these experiments we produced different protein concentrations in the midbrain using a technique called in-ovo-electroporation, which lead either to an overexpression of Pax7 and Pax3 or to a repression of Pax7. 
The effects on the concentration differences of the cell cycle genes in the midbrain were analyzed by a qualitative PCR-analysis. A quantitative qRT-PCR-analysis was additionally performed in the dorsal midbrain. 
The qualitative PCR-analysis of the ventral midbrain showed no clear effect of Pax3 and Pax7 on the investigated cell cycle genes and requires further investigation. In addition wie detected a possible 65bp- smaller splice variant in the dorsal midbrain. The role of this variant in the specification and proliferation of neuronal subtypes needs to be analyzed in further studies. 
The results of the qualitative PCR-analysis of the dorsal midbrain led to an exclusion of certain transcription factors for the following qRT-PCR-analysis due to an inhomogeneous expression pattern. This high-sensitive method presented a complex interaction pattern of Pax3 and Pax7 in the dorsal midbrain.

Due to different transcription efficiencies of the individual electroporation samples we could show a concentration-dependent functional redundancy of the two Pax-genes above a certain threshold. 
Pax7-and not Pax3- seems to be capable to act as a positive and negative autoregulator and to lead despite overexpression and repression to a balanced expression pattern of the cell cycle genes during the g1/s phase. 

Neuronal precursor cells of the CNS decide during the g1/s phase wether to choose proliferation or differentiation. On the one hand, in terms of discrepancy of the expression pattern at the g1/s point the precursor cells can stabilize the expression level of their transcription factors and on the other hand can react to specific changes of expression patterns. 
This threshold specific functional redundancy of Pax7 and Pax3 and the positiv and negative autoregulation of Pax7 in the dorsal midbrain seem to balance the cell status of the neuronal precursor cells and their entry to differentiation. These feedbacks could contribute to ordered and regionalized neuronal subtypes in the dorsal midbrain."	https://tobias-lib.uni-tuebingen.de/xmlui/bitstream/handle/10900/46140/pdf/Doktorarbeit_Kira_Li_Sophie_Wolff_Februar_2014.pdf?sequence=1&isAllowed=y
Day treatment at the department of child and adolescent psychiatry at the University Hospital of Tübingen. A catamnestic study on quality of life, symptom load, satisfaction with treatment and living conditions	"This catamnestic study explores the benefit of day treatment at the department of child and adolescent psychiatry at the University Hospital of Tuebingen. It explores (1) the quality of life and the symptom load of former patients compared to the general population and to clinical reference samples, (2) the changes of symptom load in contrast to the start of therapy, and (3) the satisfaction with treatment and with the current living conditions. In contrast to a randomized controlled trial, this effectiveness study is in an everyday therapeutical setting. 
The quality of life and symptom load were - on an average 3.3 years after treatment - better than in acute psychiatric patients and worse than in the general population. The symptom load was significantly lower than at the start of therapy. The satisfaction with treatment was at a high level, similar to that in other studies.
In total, the results of this study suggest that day treatment at the University Hospital in Tuebingen was beneficial to the patients."	https://tobias-lib.uni-tuebingen.de/xmlui/bitstream/handle/10900/46132/pdf/Dissertation_T._Heckele_2013.pdf?sequence=1&isAllowed=y
Investigations into cell death induction by enterococci, streptococci and staphylococci in macrophages	"Macrophages are phagocytes and form the front line of defence in the innate immune system. Thus they are able to absorb and inactivate bacteria before these can become pathogenic. Gram-positive bacteria, such as Staphylococcus aureus and Streptococcus pyogenes, are able to induce programmed cell death in macrophages – thus evading the immune reaction of the host. In this study it was shown that, in addition to this, numerous other species of staphylococci and streptococci also have a cytotoxic effect on J774A.1-macrophages, which could contribute to the pathogenicity of these bacteria.

Enterococci constitute an essential part of the human intestinal flora. However, they are becoming increasingly apparent as the cause of life-threatening infections, especially in immunocompromised patients. In this study, J774A.1-macrophages were infected with various species of enterococci and a range of E.faecium strains, which differed from each other in respect to their resistance to antibiotics and to whether the enterococcal surface protein Esp was present. It became evident that enterococci, independent of species, are able to induce necrotic cell death in macrophages. Further research with E. faecium showed that lysozyme is essential for cell death induction by E. faecium. When lysozyme was added it was neither possible to prevent cell death by inhibition of caspase through zVAD-fmk, nor by inhibition of bacterial uptake using cytochalasin D, nor by intra-cellular killing of the enterococci by rifampicin. The presence of the bacterial surface protein Esp, or of specific antibiotic resistances, did not increase the rates of cell death. 

These results indicate that that there is a common, up to now unknown cytotoxic factor in enterococci, which is released in the presence of lysozyme. Further investigations, using the results of this research as their basis, indicate that this factor could be cytotoxically active, reactive oxygen species (ROS), which are released from enterococci when lysozyme is present."	https://tobias-lib.uni-tuebingen.de/xmlui/bitstream/handle/10900/46116/pdf/DruckfreigabeKorrekturOhneCV22112013.pdf?sequence=1&isAllowed=y
